FID,sample_id,sample_date,indicator,value,unit,site,state,latitude,longitude,licence,authority,treatment,population,scale,description,location_type,GEOM
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6172,20040,2015-04-30,Total Nitrogen,13,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6171,20035,2015-11-30,Total Phosphorus,10,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6170,20037,2015-01-31,Total Nitrogen,14,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616f,20039,2015-03-31,Total Nitrogen,15,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616e,20041,2015-05-31,Total Nitrogen,11,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616d,20042,2015-06-30,Total Nitrogen,13,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616c,20044,2015-08-31,Total Nitrogen,19.5,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616b,20046,2015-10-31,Total Nitrogen,15,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-616a,20048,2015-12-31,Total Nitrogen,22,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6169,20050,2015-07-31,Oil and grease,0,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6168,20052,2015-04-30,Surfactants (MBAS),0.79,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6167,20054,2015-10-31,Surfactants (MBAS),0.73,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6166,20056,2015-07-31,E-coli,0,org/100mL,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6165,20043,2015-07-31,Total Nitrogen,15,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6164,20045,2015-09-30,Total Nitrogen,12,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6163,20047,2015-11-30,Total Nitrogen,23,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6162,20049,2015-01-31,Oil and grease,0,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6161,20051,2015-01-31,Surfactants (MBAS),0.49,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6160,20053,2015-07-31,Surfactants (MBAS),1.4,mg/L,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615f,20055,2015-01-31,E-coli,24000,org/100mL,Beenyup,Western Australia,-31.7631,115.7116,L7882/1991/14,Water Corporation,Advanced secondary,"~660,000",135 ML/day,"Ocean Reef outfall accommodates one wastewater treatment plant (Benyuup) and serves the area of Perth northern suburbs from North Whitfords, Hamersley, and Burns Beach. Approximately 116 ML of treated effluent of secondary treatment wastewater is discharged daily to the sea through the two outlets at Ocean Reef. The outlets are 1.65 km (Outlet A) and 1.85 km (Outlet B) in length and located in 10 m of water.",Ocean,POINT (115.711619 -31.763111)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615e,20405,2015-01-31,pH,7.58,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615d,20406,2015-02-28,pH,7.65,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615c,20408,2015-04-30,pH,7.64,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615b,20410,2015-06-30,pH,7.66,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-615a,20412,2015-08-31,pH,7.54,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6159,20407,2015-03-31,pH,7.62,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6158,20409,2015-05-31,pH,7.58,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6157,20411,2015-07-31,pH,7.53,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6156,20413,2015-09-30,pH,7.56,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6155,20414,2015-10-31,pH,7.56,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6154,20416,2015-12-31,pH,7.6,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6153,20418,2015-02-28,Total Dissolved Solids,407,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6152,20420,2015-04-30,Total Dissolved Solids,481,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6151,20415,2015-11-30,pH,7.61,pH,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6150,20417,2015-01-31,Total Dissolved Solids,684,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614f,20419,2015-03-31,Total Dissolved Solids,445,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614e,20421,2015-05-31,Total Dissolved Solids,466,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614d,20422,2015-06-30,Total Dissolved Solids,453,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614c,20424,2015-08-31,Total Dissolved Solids,452,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614b,20426,2015-10-31,Total Dissolved Solids,285,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-614a,20428,2015-12-31,Total Dissolved Solids,310,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
NESP_NationalOutfallDatabase.fid-3c2f61dc_188a1fc583c_-6149,20423,2015-07-31,Total Dissolved Solids,242,mg/L,Point Peron,Western Australia,-32.2791,115.6806,L4202/1991/10,Water Corporation,Primary,0,20 ML/day,"Sepia Depression Ocean Outlet Landfill (SDOOL) accommodates three wastewater treatment plants (Point Peron, Woodman Point, and East Rockingham). The Point Peron plant receives wastewater from the industrial areas at Peron, City of Rockingham as well as from the Jervoise Bay Groundwater Recovery Scheme. Approximately 20 ML of treated effluent is discharged daily via the 24km Sepia Depression Ocean Outlet Landfill, 4km offshore from Cape Peron into the sepia depression, a 20m deep channel running parallel to the shore.",Ocean,POINT (115.680574 -32.279063)
